Number of Articles,Number of Founders,Number of Funding Rounds,Total Funding Amount,Number of Investors,Number of Acquisitions,Number of Lead Investors,Successful Exit (True/False)
,2,,,,,,0
,,,,,,,0
1,,,,,,,0
,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,1
,1,,,,,,0
,,1,8918813,,7,,1
,,,,,,,0
9,,,,,,,0
7,,,,,,,0
2,2,,,,,,0
55,2,4,59000000,8,2,4,0
210,2,5,49500000,6,3,4,1
,,,,,,,0
,,,,,,,0
1,,,,,,,0
8,2,5,18800000,1,,1,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
3,,,,,,,1
3,,,,,,,0
13,1,3,14900000,4,,3,1
16,1,1,1233000,,,,0
,,,,,,,1
292,3,6,57000000,6,,1,1
,,,,,,,0
,,,,,,,0
1,,,,,,,0
,1,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
24,1,1,300000,1,,,0
2,2,,,,,,1
,1,,,,,,0
,,,,,,,1
,,,,,1,,0
,,,,,,,0
1,,,,,2,,1
,,,,,,,0
5,,,,,,,1
,,,,,,,1
1,1,,,,,,0
,,,,,,,1
3,,1,17000000,1,,1,1
,,,,,,,1
,1,,,,,,0
,,,,,,,0
4,,,,,,,0
,,,,,,,0
,1,,,,,,0
,2,1,50000,,,,0
,,,,,,,1
,,,,,,,1
3,2,1,13700000,2,,2,1
,,,,,1,,1
4,,,,,,,0
1,1,5,13335737,1,,1,0
,,,,,,,0
,,,,,,,0
,1,2,19000000,,,,1
3,1,,,,,,1
122,3,5,31000000,4,,4,1
6,,1,6890000,,1,,0
,1,1,1725000,,,,0
,,,,,,,0
,,,,,,,0
4,2,2,6000000,1,,,0
,2,,,,,,0
,3,,,,,,0
,2,,,,,,0
,,,,,,,0
,,,,,,,0
27,1,5,25010000,3,,1,0
,,2,13200000,1,,1,0
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
14,2,6,16760629,5,,2,1
,1,,,,,,0
,,,,,,,0
,,,,,,,1
,,2,425130,1,,1,1
,,,,,,,1
,1,,,,,,0
16,2,,,,,,0
,1,,,,,,0
,,5,1753938,1,,,0
,1,2,59000000,,,,1
,,,,,,,0
,,1,3000000,1,,,0
6,1,,,,,,0
19,,,,,,,0
2,,,,,,,0
1,1,,,,,,0
14,2,1,1450000,,,,0
,1,,,,,,0
2,,,,,,,1
4,,,,,6,,1
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
8,1,,,,,,0
,,,,,,,0
1,,,,,,,1
,2,,,,,,0
,,1,50000000,1,,,1
2,,,,,,,1
,,,,,,,0
,,,,,,,0
6,1,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,1,250000,1,,1,0
1,,1,,,,,0
,,,,,1,,1
,,,,,,,0
,,,,,,,1
,,1,650000,,,,0
10,,,,,,,0
3,,,,,,,1
,,,,,,,0
1,,,,,,,1
148,3,5,111426543,7,,5,1
,,1,40000000,1,,1,0
,,1,1400000,,,,0
16,,,,,,,0
2,,1,3000000,,,,1
,,,,,,,1
,,,,,,,1
4,1,,,,,,0
,,,,,,,1
90,1,,,,1,,1
1,,,,,,,1
,,,,,,,0
2,,,,,,,0
3,1,3,5200000,3,,,0
13,2,4,26300000,6,,1,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
1,1,,,,,,0
,,,,,,,0
,,,,,,,0
254,2,3,76500000,5,1,1,1
,,,,,,,1
2,,,,,1,,0
,,,,,,,0
35,1,,,,,,1
,,,,,,,0
2,,,,,,,1
5,2,2,3300000,4,,1,1
,,,,,,,1
19,2,5,5602000,1,,,1
1,1,2,450000,1,,1,0
,,,,,,,0
13,2,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
1,1,3,6225000,,,,0
,2,1,1000000,2,,,0
,2,,,,,,1
,,,,,,,0
,,,,,,,0
3,,,,,1,,1
,,,,,1,,0
,2,1,126000,1,,,0
,1,,,,,,1
5,,,,,,,1
1,2,,,,,,0
5,,,,,,,0
,3,,,,,,1
,,,,,,,0
1,,1,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,0
2,,,,,,,0
,,,,,,,0
2,,,,,1,,1
190,1,,,,,,0
,,1,,2,,,0
14,,,,,,,0
,,,,,,,1
4,2,,,,,,0
,,,,,,,1
,,,,,,,0
6,2,1,950000,3,,1,0
,,1,,2,,,0
1,2,,,,1,,0
1,1,,,,,,0
,2,,,,,,0
7,,,,,,,0
,,,,,,,1
48,2,4,42497374,5,,2,1
8,1,1,,2,,,0
,1,,,,,,0
,,,,,,,1
,1,,,,,,0
,2,,,,,,0
,1,1,3300000,,,,1
,,,,,,,1
,,,,,,,0
2,1,,,,,,0
,1,,,,,,0
,,,,,,,1
10,,,,,,,0
,,,,,,,0
,,,,,,,0
113,2,3,32000000,4,,2,1
1,,2,5000000,1,1,1,0
,,,,,,,0
,1,,,,,,0
23,,,,,,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
,1,,,,,,0
,1,,,,,,1
,2,,,,,,0
3,3,,,,,,1
61,4,9,204632382,5,5,2,0
,,,,,,,1
1,,,,,,,0
,,,,,,,1
43,2,1,3000000,1,,1,0
,,,,,,,0
5,4,2,38000000,3,,,1
1,2,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
10,,,,,1,,0
,1,,,,,,1
,,,,,,,0
,,,,,,,1
3,2,,,,,,0
30,2,3,2350000,11,1,,0
5,1,2,1022870,9,,,1
5,2,,,,,,1
1,1,,,,,,0
,1,,,,,,0
,,1,1731700,,,,0
,,,,,,,1
3,,,,,,,0
20,2,,,,,,0
215,,,,,,,0
4,3,1,1500000,3,,,0
1,,,,,,,0
,,,,,,,0
3,,,,,,,1
538,2,4,57450000,8,3,2,0
3,,,,,,,0
,,,,,,,0
,,,,,,,0
2,2,2,25000,2,,,0
20,,,,,,,0
,1,,,,,,0
,,,,,,,1
,1,,,,,,0
11,1,3,4750000,3,,1,1
6,,2,10550000,5,,1,1
183,2,6,58000000,22,,6,1
2,1,,,,,,0
3,2,,,,,,0
1,,,,,,,0
7,,2,12600000,4,,1,0
,,2,2000000,1,,,1
,,,,,,,0
,2,,,,,,0
2,,,,,,,0
3,2,,,,,,0
8,1,,,,,,0
,,,,,,,1
2,1,,,,,,1
,,,,,,,1
8,4,4,33020000,6,,4,0
,,1,,1,,,0
,1,,,,,,0
3007,2,7,840945776,11,7,1,1
28,1,,,,3,,0
,,,,,,,1
1,,,,,,,0
1,1,1,200000,,,,0
16,,,,,,,0
,,,,,,,0
4,2,10,1476500000,10,,2,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
3,,,,,1,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,2,6750000,2,,2,0
,,,,,,,0
,,,,,,,1
,,1,,,,,0
58,3,,,,,,1
,,1,500000,,,,0
,,,,,,,0
2,,,,,,,0
,,,,,,,0
,2,,,,,,0
10,2,1,,1,,,0
,,,,,,,1
8,4,,,,,,1
135,2,6,55499990,7,,2,1
2,1,6,4852400,,,,0
,,,,,,,1
20,2,1,1500000,1,,1,1
3,,,,,,,0
,2,,,,,,0
995,3,8,73255000,10,2,4,1
,,,,,,,1
,,,,,,,0
2,,1,,2,,,0
3,1,,,,,,0
1,,,,,,,0
3,2,,,,,,0
,,3,2343012,1,,,0
1,,,,,,,1
,,,,,,,1
12,2,,,,,,0
4,1,2,1750000,,,,1
37,2,,,,,,1
4,,,,,,,1
,,,,,,,0
,,,,,,,1
,,1,,1,,,0
1,1,5,9919665,1,,1,0
6,,,,,,,0
1,,1,2500000,1,,1,0
1,,,,,1,,0
20,,,,,2,,1
,1,,,,,,0
,,,,,,,0
2,1,,,,,,0
,,,,,,,1
1,1,,,,,,0
,,,,,,,0
4,1,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
1,,,,,,,1
1,,,,,,,0
2,2,,,,,,1
,,,,,,,0
1,1,,,,,,0
,,,,,,,0
,,,,,,,0
9,1,,,,,,1
6,1,,,,,,1
,,1,,1,,,0
36,,,,,1,,0
,,,,,,,0
32,1,1,,1,,,1
,,,,,,,0
,2,,,,,,1
13,2,,,,,,0
,1,,,,,,0
5,,4,5535033,,1,,1
,,,,,,,0
16,4,4,25630000,3,,2,0
,,,,,,,0
,,2,1000000,1,,,0
2,,,,,,,1
,,,,,,,0
4,1,1,10000000,1,,1,0
,2,,,,,,0
,1,,,,1,,0
,1,,,,,,0
1,,,,,,,1
7,,,,,,,1
,1,,,,,,0
,,,,,,,1
,,,,,,,0
,4,,,,,,1
16,2,1,,,,,0
,1,,,,,,0
1,1,,,,,,0
,,,,,,,1
3,1,,,,,,0
54,,,,,,,0
,2,,,,,,0
,,1,,,,,0
14,,,,,,,0
28,,,,,,,0
,,,,,,,1
7,,,,,,,1
3,,,,,,,0
,,1,,,,,0
,,,,,,,0
9,,,,,,,0
115,,,,,10,,1
,,,,,,,1
444,2,6,55900000,7,,4,1
103,2,4,90000000,6,,1,1
30,,,,,,,0
149,,,,,,,1
,1,,,,,,0
2,,,,,,,0
,1,3,16374000,2,,1,0
3,1,1,2000000,,,,0
,,,,,,,0
35,,,,,2,,0
3,2,1,1100000,1,,1,0
1,2,2,6000000,2,,,1
17,1,3,42000000,2,,1,1
19,,6,25518015,,,,1
2,,,,,,,0
3,,1,,1,,,1
1,,1,1400000,2,,2,0
2501,1,6,22000000,8,3,4,0
27,1,1,1000000,,,,0
,,,,,,,0
1,,,,,,,1
1,,,,,,,0
994,6,7,286000000,11,1,3,1
,,,,,,,0
24,1,2,10750000,2,1,1,1
2,1,1,1500000,3,,,0
15,3,1,12500000,1,,1,0
2,1,1,800000,1,,,0
10,1,1,2400000,1,,1,0
,1,,,,,,0
,,1,16999999,,,,0
,1,,,,,,0
1,,,,,,,1
,,,,,,,1
,,,,,,,0
,,1,3660942,,,,0
82,,,,,4,,1
,,,,,,,0
,,1,27000000,2,2,2,1
,,,,,,,1
,,,,,,,0
11,3,5,43017000,6,,,1
1,1,1,,4,,,0
,,,,,,,0
11,1,3,250000,1,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,0
3,1,,,,,,0
13,,,,,,,0
,,,,,,,1
1,,1,25000,,1,,0
,,,,,1,,0
,,,,,,,0
2,,1,25000,1,,1,0
,,,,,,,0
1,1,1,27000,,,,0
,,,,,,,0
,,,,,,,0
1,1,1,,1,,,0
,1,,,,,,0
,,,,,,,0
4,,,,,,,1
,,,,,,,1
3,1,,,,,,0
,1,,,,,,0
2,,,,,1,,0
,,,,,,,0
10,1,2,14000000,5,,,1
3,,,,,1,,0
3,,,,,,,0
1,,,,,,,1
2,,,,,,,0
,,,,,,,0
8,1,1,500000,1,,,0
53,1,,,,,,1
4,1,3,2000000,5,,,1
31,2,,,,,,0
3,,,,,,,1
3,,,,,,,0
122,,3,74707100,5,3,1,1
,,,,,,,0
57,3,6,562000000,10,,8,0
,2,,,,,,0
,,,,,,,0
112,,,,,,,0
,,1,75000,1,,,0
1,,,,,,,0
2,,1,,1,,,0
,1,1,5000000,1,,1,0
,,,,,,,0
3,,,,,,,0
,,,,,,,0
12,1,,,,,,1
41,,3,,4,,2,0
,,,,,,,0
16,2,7,42500002,2,,2,1
2,2,,,,,,0
1,,,,,,,0
16,,,,,,,1
,,,,,,,0
8,,1,5245846,1,,1,1
,4,,,,,,0
3,1,1,2000000,2,,1,0
22,2,7,98900000,7,,5,0
,,3,18300000,3,,1,1
1,1,,,,,,0
1,,,,,,,1
,,,,,,,1
,1,,,,,,0
50,2,6,106800000,3,,2,0
268,1,5,25107724,5,,3,1
1,4,2,2000000,2,,,0
11,2,3,11043722,5,,,1
,,,,,,,0
,,,,,,,1
,1,,,,,,0
,,,,,,,0
,,,,,,,0
4,,,,,,,0
,1,,,,,,0
,2,,,,,,0
3,,,,,,,0
6,1,,,,,,0
7,,,,,,,0
,,,,,,,0
74,,,,,,,1
,,,,,,,1
2,,,,,,,0
